Day fraction since midnight on 	pH probe (pH)
0.607747546	7.771155357
0.607759103	7.773502827
0.607770689	7.754072666
0.607782253	7.742740154
0.607793824	7.728558064
0.607805394	7.717627049
0.607816989	7.706105232
0.607828552	7.681837082
0.607840133	7.683334351
0.607851686	7.672855854
0.607863292	7.673923016
0.607874863	7.64722538
0.607886435	7.641822815
0.607898014	7.62816143
0.607909573	7.632784367
0.607921158	7.614672184
0.607932725	7.615108967
0.60794429	7.582691193
0.607955878	7.583637238
0.607967444	7.573287487
0.607979012	7.570859909
0.607990578	7.547628403
0.608002149	7.549662113
0.608013759	7.520979404
0.608025339	7.533930779
0.608036889	7.505677223
0.608048477	7.507834435
0.608060052	7.480835438
0.608071609	7.49034977
0.608083186	7.476093292
0.608094773	7.487005711
0.608106349	7.457116604
0.60811791	7.465139866
0.608129493	7.450926781
0.608141061	7.439561367
0.60815264	7.432467461
0.608164203	7.433120728
0.608175776	7.433875561
0.608187361	7.429369927
0.608198925	7.420614243
0.608210494	7.409840107
0.608222057	7.420953274
0.608233659	7.402103424
0.608245247	7.420695305
0.60825678	7.40662241
0.608268369	7.404929638
0.608279939	7.365997791
0.608291533	7.370488167
0.608303101	7.357322216
0.608314673	7.373662472
0.608326254	7.35801506
0.608337818	7.369740486
0.608349396	7.347998619
0.608360959	7.364088535
0.608372553	7.343195915
0.608384103	7.34458065
0.608395688	7.330842495
0.608407275	7.335392475
0.608418833	7.289659977
0.608430418	7.298392773
0.60844197	7.277224064
0.608453561	7.296283245
0.60846514	7.291120529
0.608476703	7.292179585
0.608488262	7.273749352
0.608499843	7.27478075
0.608511446	7.255130768
0.608523024	7.262063503
0.608534578	7.245573998
0.608546133	7.236946583
0.608557718	7.241024017
0.608569294	7.23736763
0.608580865	7.240310192
0.608592444	7.229577541
0.608604016	7.227352619
0.608615596	7.220129967
0.608627171	7.230031014
0.608638728	7.223537922
0.608650327	7.224131584
0.60866189	7.203697681
0.608673447	7.210214138
0.608685038	7.214338303
0.608696597	7.211686134
0.608708201	7.206004143
0.608719761	7.198152065
0.608731334	7.175467014
0.608742895	7.187961578
0.60875447	7.169574738
0.608766053	7.180437565
0.60877764	7.150496006
0.608789197	7.170041561
0.60880078	7.152069092
0.608812335	7.149085999
0.608823913	7.097409725
0.608835515	7.117647648
0.608847063	7.091697693
0.60885864	7.094034672
0.608870208	7.089824677
0.608881783	7.105072498
0.608893388	7.093898773
0.608904959	7.10581398
0.608916511	7.081113339
0.608928102	7.095356464
0.608939652	7.08550024
0.608951241	7.078408241
0.608962826	7.093287945
0.608974393	7.069578648
0.608985963	7.076413631
0.608997554	7.103373528
0.609009107	7.142133713
0.609020691	7.148074627
0.609032246	7.059792519
0.60904384	7.07932663
0.609055413	7.054503441
0.609066984	7.048408985
0.609078558	7.063843727
0.609090154	7.042167187
0.60910172	7.051609993
0.609113283	7.030055523
0.609124837	7.05232048
0.60913643	7.027627945
0.609147999	7.038612366
0.609159584	7.015632629
0.60917116	7.021166802
0.609182733	6.981322289
0.609194286	7.032842636
0.609205879	7.005226612
0.609217457	7.023566723
0.609229016	7.004419804
0.609240601	7.017974377
0.609252163	7.001473427
0.60926374	7.012488365
0.60927533	7.001330853
0.609286895	7.011879444
0.609298451	6.995275974
0.609310036	6.989202023
0.609321604	6.930304527
0.609333186	6.966826916
0.609344763	6.953077793
0.609356344	6.99906683
0.609367925	6.966130734
0.60937949	6.950754643
